jobTitle,preferredjobs
"warehouse operative",
"Fish and chip counter assistant,Cashier",
Cleaner,
"Apprentice,Production operative,Kitchen porter,Labourer,Warehouse operative,Production operative,Kitchen porter,Labourer","Plasterers labourer"
Mechanic,"Mechanic, Warehouse"
"Machine installer,Driving,Warehouse operative","Warehouse Operative, Supervisor"
"Senior Service Advisor",
"Warehouse operative",
"Bartender,Bartender,Bar staff/ waitress,Sales Assistant,Christmas temp retail manager,Scare actor","Theatre, Photographer, Hospitality"
"contract cleaner",cleaning
"Security,Warehouse","Warehouse operative, Security Officer"
"Customer service,Admin","Driving - automatic, Office Admin, Customer service"
"Tarmac operations,Ground worker","Grand woker"
"Self Employed Lash Technician,Receptionist","Health care / Dentistry"
"Casual Sales Assistant,HR Assistant",
"Cleans pubs","Cleaning Mon- Fri"
"Mex Bar - Wakefield - current","Hire desk - administration, Hospitality, Labouring"
"Cleaner,Warehouse Operative","Warehouse Operative, Cleaner, Caterer"
"Retail assistant,Sewing,Hairdressing","Mobile hairdressing"
"Driving,gardener,warehouse","gardening, warehouse"
"Warehouse / picking & packing,ventilation insolation,Trader","Passive fire engineer, Passive fire surveyor, Construction worker"
Cleaner,
"Building,Landscaper,Welder/fabricator,Joiner",
"mcdonalds crew member",
"Care,Warehouse,Retail",
"Team member,Warehouse Operative","Warehouse, Any physically active, moving"
"Receiver,Stower",
"Architectural Technician,Product Manager,Architect,Architect,Architectural assistant",
"Climbing Instructor - East Riding Leisure Bridlington,Office Admin - All In Training,Crew Member - McDonalds,Sales Assistant - Vodafone,Call Centre Worker - Luminate Education",
"Warehouse work,Take away jobs","Warehouse, Driver, Production"
"Bartender,Key holder,Crew Trainer,Geek retreat Key holder,Mcdonalds Crew Trainer",
"Concrete operative,Bench joiner,Driving,Waste removal,Vulcanizer","Pat tester, Warehouse Operative, Waste Disposal"
"Retail Assistant","Retail Assistant"
"BARSTAFF,SHOP ASSISTANT,ASSISTANT,bakery worker,retail assistant,food production operative",
Administrator,
"Cleaner,House keeper,School cleaner","Cleaner, Work with animals, Support worker"
"Self employed business in Hull,Shop Assistant","shop assistant"
"Picking,Fkl driver,Operator","Van Driver, Fkl driver, Operator"
"Warehouse operative,Picker packer,Hygiene operative,Picker,Casting operator","Picker/packer, Hygiene operative"
Waiter,
Labouring,"Retail / stacking shelfs, Wearhouse, Customer Service / admin"
"Chaiiwala express retail assistant - Euro Garages","Makeup Artist"
"warehouse operative,WAREHOUSE","Warehouse, packer"
"Card Factory / Sales Assistance,sales assistance","Sales assistance, Customer service, Cleaning"
"stock assistant,marshall/mechanic","mechanics, electrician, fire fighter"
"Warehouse operative",
"Bar work,kitchen","Retail, Cleaning, Kitchen assistant, Healthcare"
"Dyson Vacum engineer,Sales/Business Development,Phlebotomist/HCA/ Driver,Home Care assistant",
"null,Bricklaying,Steel erecting,Bricklayer",
"Drivers mate",
"Community Support Worker",
"Kitchen Porter,Warehouse operative","Warehouse operative"
"Railway Engineer,Railway Engineer","Railway Engineer"
"Teacher Active and Hayes Education",
"Managing Director,Interpreter,Managing Director","Managing Director (current position)"
"Staffline,Food Production Company","Warehousing, Call centre, Retail"
Warehouse,"Nursery Job, Retail"
,"Construction, Warehouse"
,"Warehouse operative, Order picker, Flt driver"
,"Cleaning, Retail shop work, School lunch time worker"
"Personal Assistant","Emergency Care Assistant, Health Support Worker, Trainee Nursing Associate"
,"Gas engineer"
"Bar tender","Bar tender, Retail, Kitchen assistant"
Warehouse,"Cleaning, Catering assistant, Carer"
"Tarmac operative",
"Self Employed Market Trader,Order Picker,Cash And Carry Operative","Music Shop Assistant, Librarian, Customer Oriented"
"Retail Assistant,Retail assistant",
"Warehouse Operative","Warehouse Operative, Production Operative"
,"Solar electrician, Domestic Electrician, Electrician"
"cola craft",
Cleaner,"Cleaner, Carer, Cooking"
"Food Production Operative,Picker&Packer,Production Operative,Volunteer care work,Warehouse","Warehouse (light), Retail, Production (light), Packing, Part time, Cafe work"
"Panel Beater","Panel Beater"
"Sales,Argos Retail / Customer service,Construction","Customer service / Admin, Construction CSCS, Retail"
"General Painter and decorator","Forklift Operator, Painter and Decorator"
,Embalmer
,"Ground worker, Bricklayer"
Security,Security
"factory operative","warehouse, packer, agency work"
"warehouse picking and packing","Hospital, Funeral directors"
,"Labourer, Shopfitting, Flt"
,"Receptionist, Admin, Customer service"
"Cleaning,Shop Assistant",Admin
"Warehouse,Decorating","Decorating, Mechanics"
"Bar Staff","Bar, Waitressing"
"Taxi Operator,Kitchen Porter,Fabricator and Welder",
"glass fitter",
"Pheonix warehouse,Amazon,Amazon warehouse",Warehouse
"Mechanic,Mechanic","Mechanic, Service adviser, Workshop control"
"Never worked","Retail, Warehouse"
,"Cleaner, Warehouse"
Cleaner,
"Teaching assistance,delivery driver / hot food,chef","Driving, Chef, Work from home"
,"Sales Assistant, Postal Worker"
"Picking/ Packing,Retail,Cleaning,Kitchen work","health and beauty, SIA"
,"Childcare, Babysitter, Retail"
"admin (vol)","teaching assistant, care, admin"
Joiner,Joiner
"HGV Driver",
Carer,"Teaching Assistant, Dog worker, Chef"
"Retail work,Fryer in Fish & Chip shop,Bar maid",
"Warehouse Operative,Warehouse Operative,Flt driver,Warehouse operative","FLT Driver, Warehouse Operative, Labourer"
"Warehouse Operative","IT jobs, Warehouse, Security"
,"Warehouse operation, Forklift driver, Taxi driver"
,"Pharmacy assistant - NHS, On Computer, Doctor"
"Customer Service Manager,COVID-19 Sample Data entry technician,COVID-19 Call handler,Accounts Assistant,Bar Staff","Physiotherapy, Pharmacy Assistant, Mental Healthcare Assistant"
"Retail,Bartender,Bartender","bartending, retail"
"Telesales agent,Plasterer,Sales advisor","Recruitment consultant, Sales advisor, Customer service advisor"
"Grocery assistant,Baker",
"Yard operative","Yard operative, Sales, Policeman"
"Warehouse,Cleaner","Cleaner, Warehouse, Hairdresser, Dental Assistant"
"Casual Sales Assistant,HR Assistant",
"Warehouse Operative",
"Factory work,Labourer,Driving","Driving, Labouring, Factory work"
,"Dinner lady, Cleaning"
"Menzies distribution,Valentinos","Warehouse operative, Machine operator"
"Cleaner,Cleaner",
,"Teaching Assitant"
,"Labourer, Warehouse, Gardening"
"Implementation Manager,Senior accountant manager,Recruitment Project Manager,Onsite account manager,Onsite account manager","Talent Acquisition, HR Advisor, He Buissnes Partner, Supply chain manager, Project Manager, Assistant Operations Manager, Buissness Analyst, Compliance Officer, Learning and Development Manager, Logistic coordinator"
"Retail assistant,Assistant,Assistant manager",Retail
"Priest,Priest",
"Cleaner we was cleaning student houses,Lourber,Cleaner,Cleaner,Warehouse","Cleaner, Warehouse picker packer, Any warehouse or cleaning work"
"Cleaner,Warehouse operative,Warehouse Operative",Cleaning
"Co op store member apprenticeship,Scope volunteer apprenticeship,McDonalds crew member apprenticeship","Retail assistant"
Farmer,"Warehouse, Picking and Packing, Truck loader"
Carpenter,"Carpenter, Production line operative, Warehouse operative"
"Bakery,Labouring,Warehouse","Warehouse, Labouring, Bakery"
Marketing,
"Next,Superdrog,Fox Buiscuit Ltd,Jay-Be LTD,Sampling international","Forklift driver, Logistics, Warehouse operator"
"Garden centre,Retail / Stacking shelfs","S.I.A CCTV, Wearhouse, Retail / Stacking shelfs"
Waitress,"catering, cleaning, lunch time supervisor"
Director,
"Machine setter Team Leader",
"Retail assistant",
,"accounts assistant, bookkeeper, junior accountant"
"Receiver,Stower",
,"Retail, Dispatch, Online Sales"
,"Cleaner, Kitchen Assistant"
"Warehouse picking/packing","Mechanic/Motorbikes, CSCS - labouring"
Waitress,"Retail, Child care, Cleaning"
"Picking packing","Quality ac, Warehouse workers, Stores cashier"
Resturant,"School, Escort"
"Sales man,Cleaner",
,"Sewing machinist, Domestic Cleaner"
"Housekeeping assistant,Housekeeping supervisor,Picker packer,Housekeeping Supervisor","Housekeeping Supervisor, Head Housekeeper, Warehouse assistant, Order Picker"
"Order Picker - Warehouse OP","Groundworks, Security, Grounds Maintenance"
"Production operator",Bakery
"Food assistant,Maxim facilities leeds",
"Office work,Waitress",Barber
,"Hospitality, Domestic"
Hairdresser,"Hairdressing, Cleaning"
"Next - Warehouse Assosciate,Superdrug - Sales Advisor","Animal-Based Work of any Variety, Library Work, EDT/EDP Sales"
"Health care assistant,Receptionist,Bar staff,Sales advisor",
,"Animal Care, Warehouse, Retail"
,Fencing
,"warehouse, bricklaying, bar work"
"Market trading","Market tarader, Painting, Sales assistant"
"CHARCOAL GRILL WAKEFIELD LTD 31KIRKGATE WAKEFIELD  WF1 1HS","Uber eat, Just eat, Driver"
"Priest,Priest",
,"School jobs within school hours"
"Snagger,Finisher","Finisher, Snagger"
"Customer service representative,Retail Assistant,GM clothing","Administration Assistant, Coordinator"
"Packing,Line leader","Psychologist, Photograph, Leader in warehouse, QC, Receptionist"
"S/E Shopfitter",Shopfitting
Volunteering,
Cleaner,"Warehouse Operative, Factory worker, Production worker, Cleaner"
"Hair addresser","Receptionist - doctors, Hairdressing"
"Delivery Assistant,Kitchen cleaner",
"Car wash","Barber, Building"
"Senior Childcare Practitioner",
,"groundman, cleaning, shop assistant"
,"Bricklaying, Wear blues, Pick packer"
"barista,barista,barista and waitress","photographer, wildlife conservationist, photography assistant"
"PRODUCTION OPERATIVE,MACHINE OPERATIVE,WAREHOUSE OPERATIVE,PICKER,RECYCLING OPERATIVE","WAREHOUSE (LIGHT DUTIES), CLEANING (LIGHT DUTIES)"
,"Admin, Warehouse, Retail"
,"Kitchen assistant, Cleaner, Care assistant"
Waitress,"Waitress, Bartending, Casino"
"Sales assistant,Cleaner,Retail assistant","Retail, Cleaner"
"Support worker,Transport manager",
Bartending,"Teaching Music, Producing Music, Chef/Kitchen work"
"customer service assistant","retail, customer service, warehouse"
"Cleans pubs","Cleaning Mon- Fri"
"ground works","ground works"
"Fraud Investigator",
,"Bakery, Warehouse, Retail, Hospitality, IT, Cleaner"
Waitress,"Illustrator, Teacher"
Cleaner,Cleaning
"warehouse operative","Trainee Mortgage Advisor"
Labouring,Labouring
,"Brick layer, Mechanic, Gardener"
Waiter,RAF
"Not worked before",
"Warehouse / picking packing,Labouring / building sites","Laboured, Warehouse Work, Construction, drivers mate"
"shop work",
Retail,"Lunchtime Supervisor, Carer"
"Bar Staff,Security","Gardening, Roadworks, Construction"
"Delivery driver",
"ground works","ground works"
"Pub work",
"Warehouse workers",Warehouse
"Kitchen staff,Warehouse engineer,General Warehouse,Warehouse operator","Tattoo artist, Admin, Warehouse"
"retail assistant",
Construction,Construction
"Bar Tender  and Bar Events Manager","Event Planning"
"Food Assistant,Nursery Assistant",Retail
"ISMS Manager,Service Delivery Manager,ITIL Manager","Service Delivery Manager, Cyber Security Consultant, Service Management Consultant, IT Manager, GRC Consultant"
Resturant,"School, Escort"
"Warehouse,Team Leader Warehouse","Lunch Supervisor, Anthing relating to schools"
"Warehouse operative",Carpenter
Farming,
"Apprentice,Production operative,Kitchen porter,Labourer,Warehouse operative,Production operative,Kitchen porter,Labourer","Plasterers labourer"
"Warehouse operative",
"internship,freelance,Graphic Designer","Graphic Designer, Marketer, Digital Media Designer, Multimedia Designer, Photographer"
electrician,
"Warehouse,Cleaning",
"Sewing machinist,Textile Warehouse",Caring
"Carer,Cleaning","Cleaning, Customer service, Dog Walking"
"Administrative Assistant,Apprentice Administrator/Social Media Assistant","Administrative Assistant, Data Entry"
"Stage building,Valet,Warehouse",Construction
"Construction,Warehouse/picker packer","warehouse, construction"
"Hand & shine / car wash",
"Sewing Machinist,Production Operative",
"Warehouse (3 month contact),Mcdonalds team member","Computers/ Games design, Warehouse, Retail"
"Scaffolding,Brick Laying,B&A Machinery / fork lift driver","B&A Machinery / fork lift driver, Brick Laying, Scaffolding"
Cleaner,
"Food Production,Warehouse","Security, Warehouse"
"Lunch time supervisor,Passenger Assistant,SS Catering",
,"Office Administration, Health and Safety Administration, Painter and decorator, Working in the prison"
"Van driver",
HGV,
Nurse,
"Food delivery","Delivering food"
"drivers mate","drivers mate, delivery driver, home based call agent"
Cleaner,"Care, Cleaner, Sales"
,"Shopfitting, Driving, Any courses that a can do aswell"
"Cleaner,Bar tender,Chef",
"Hanger Sorter,Warehouse Operative","Bus Driver"
Cleaner,Cleaner
"Warehouse Operative","Security, Construction Manager"
"Customer Sales Advisor,Advisor Support Administrator,Customer Service Advisor","Adminstrator, Customer Service Advisor, Sales Advisor"
"Pipe fitting","mechanic - HGV"
Cleaner,"Dog sitters, work that is done online"
,"Retail, catering assistant"
"Cloth sewing operative,Cloth Sewing operative",
"Play Centre Assistant,Seasonal Sales Assistant",
"Store Assistant,Shelf Stacker,Car Cleaner,Takeaway assistant",
"Warehouse picker (agency),Carer","Care, Warehouse, Retail"
"The range,Care assistant","Care assistant in the community"
"Warehouse picking and packing",
"LAW TEACHER","Law Teacher"
"environmental assistant,porter,Poultry catcher","physical, Driving"
"Retail assistant,Sewing,Hairdressing","Mobile hairdressing"
"Chef,kitchen assistant/ chef","Kitchen assistant, Chef, Warehouse operative"
,"HGV driver, Security guard, Chief"
"Casa peri peri",Restaurant
"Sewing machinist,Textile Warehouse",Caring
"Breakfast club supervisor,Lunchtime supervisor",
"Mental health support worker","Sales assistant"
Carpenter,
"Press support",
"Courier Service,Delivery","warehouse, retail, picker / packer, FLT - Counter Balance"
"Warehouse Operative,Warehouse Assistant,Store/Warehouse Assistant",
,"Warehouse, Mechanical Engineer, Retail"
,"Retail, Cleaning, Hospitality, Waitress"
"Part time cleaner","Retail, Store assistant, Team member"
,"Engineer, IT, Civil engineering"
,"Admin asisyant, Office worker"
Cleaner,
,"receptionist, Waiter, shop assistant"
"Mechanical fitter,Warehouse worker,Shop fitter","Fitting, Warehouse work, Construction work"
"Kitchen Assistant",
,"Shop, Car wash"
,"Warehouse operator, Retail worker, Customer service"
Hospitality,"Carer, Work with children, Teacher"
"FLT Driver",
,mechanic
"construction engineering","Mechanical, Engineering, Operative"
,Sewing
"Medical secratory","Medical Admin"
"Teaching Assistant/ Special Education Need","Teaching Assistant, Admin, Recruitment Agencies"
"Bar Manager,Playwrite,Cocktail Bar Supervisor / Pizza Chef,Photographer","Actor, Photographer, Tattoo Artist, Job related to Mixology / Whisky (not bartender), Helping the Elderly, Animal Care"
Tailor,
"Maintenance of Property","Multi skilled tradesman, Electricians mate, Plumber"
"Senior Systems Engineer (IT Hosting/Security/Patch Management),Cloud-Based Operations Engineer (Software as a Service),Apprentice IT Technician","Something outdoors, mountain rescue sounds interesting but i wouldn't know where to start, Outdoor Activity instructor, Something IT related if it's for a good cause"
,"Office work, Auto electrician, Petrol station"
"Teaching assistance","Retail / Stacking shelfs, Wearhouse, S.I.A / CCTV"
,"Teaching assistant"
"Petrol Station Penny Petroleum,Asda Customer Service,Warehouse","Retail, Fitness, Hospitlaity, Receptionist, Host"
"cleaner,Picker","Driver, Cleaner"
,Engineering
"Team member,Warehouse Operative","Warehouse, Any physically active, moving"
"Retail operative in supermarket",
"Parcel Courier (S/E),Delivery Driver","Delivery Driver"
"LABELS FOR TINS20",
"Retail,Customer service","Smiths Toys Superstore Key holder"
"Apprentice support worker,Volunteer,Window cleaner,Healthcare assistant,Order picker","Administrator, Customer service, Data input"
"bar/food assistant",
"labourer,order picker,warehouse","warehouse, order picker"
"VOLUNTEER LEISURE CLUB/ FOOD PANTRY RECEPTION,Support Worker",
"Food catering","Support work, Cleaner, Teaching assistant"
"IT analyst,Compliance Team Lead / Manager,Junior EDD Analyst,Investigation Officer,AML / KYC Analyst","Team Leader, Compliance KYC/AML) analyst, Investigation officer"
"painter and decorator",
,"Carer, Cleaner, Uniformed services, Bricklaying"
,"Bar/event staff, Fundraiser, Security guard, Door to door sales, Retail customer service"
"Teaching Assistant",teaching
"Customer Service",
"Support Worker,Waitress","Waitress, Bartending, Carer"
"Retail Assistant( Shop Floor Assistant)","Cyber Security, Program Developer, Remote Jobs"
employee,"Mechanics/Engineering, Trades/labouring, Stock room/Warehouse"
"Cloud Engineer,Platform Engineer,Cloud Engineer,Devops Engineer,Unix Systems Engineer","Devops Engineer, Cloud Engineer, SecOps Engineer"
"Warehouse Operative,Driver mate,Warehouse Operative,Warehouse Operative","Warehouse oprative, Drivers mate, Warehouse picker / packer"
,"Chef, Warehouse, Construction"
"Customer Assistant","Customer Service, Delivery driver"
volunteer,"HOSPITALITY, CHILD CARE"
,"warehouse operative, labouring"
"Warehouse Operative",
"Bartender,Key holder,Crew Trainer,Geek retreat Key holder,Mcdonalds Crew Trainer",
"DJ,property lettings agency","DJ, Admin, Computer based jobs"
,"Store assistant"
,Tailor
"Teaching Assistant,Teaching Assistant/ Midday supervisor,Support worker","Admin role/ Assistant in Finance, Education Welfare Officer, Casework, customer service"
"Bar Staff,Driver's mate","Gardener, Musician, Bar Staff"
"Warehouse Operative",
"Senior Specialist negotiator",
"Retail assistant,Industrial cleaner","Warehouse assistant, Cleaner, Bar staff"
Cleaner,"Cleaning, Receptionist, Delivery Driving"
"Factory Operative",
"Commercial Manager",
"Warehouse assistant","Labouring, Roofer, Bricklaying"
"Office assistant,Sale assistant",
"SEN Teaching assistant",
,Warehouse
"Insurance Broker","Accounting/Finance, Mortgage Adviser"
"Removal man",
,"IT/Computers, Kitchen hospitality, CCTV security"
"Warehouse Operative",
"Beauty Therapist","Beauty, Seller"
"Mex Bar - Wakefield - current","Hire desk - administration, Hospitality, Labouring"
"warehouse operative,warehouse operative,Warehouse Operative","warehouse operative"
"Safety Liaison Officer,Customer Service Coordinator","Project Coordinator, Project Support Officer, Tech Sales, Project Planner"
Receptionist,
Packer,"Warehouse Operative"
"Crew member","Art jobs, Retail"
"Office work","Retail Assistant, Cleaner, Factory"
Warehouse,Anything
"Early Years Practitioner","Early Years Practitioner"
"Health and Safety",
Farmer,
Construction,Driving
Deli,"Term time job, Teaching assistant"
"Post selecter,machine operator,flt driver,handyman","Postman, Warehause, Mashine operation"
"Carer,Kitchen potter","Retail, Call centre, Deliveries"
"Assistant manager,Waitress","Bar work / waitressing, Warehouse, Retail"
"Pallet yard foreman,Cleaner,Loader/routeplanner",
,"Office work"
Subway,"Hairdressing, Office work, Carework"
"Warehouse,Warehouse",
,"Landscaping, Warehouse, Outdoor Work"
"labouring,DHL Operative","Supermarket, Customer service"
,"Health and Safety, Office, Administration"
"Personal Trainer",
"Chef/cleaner,Picking Packing",
Welder,"Welding, Supermarket shelve stocking"
Potwashing,"Electrician, Joiner"
"Wearhouse,Brick laying","Wearhouse, Fork lift driver"
,"Production op, Machine op"
"Sandal motors / salesman,Retail / Customer service / stacking shelfs","Car Salesmen"
"Civil engineer",
"Sales associate","Sales and marketing"
"Making small objects,Machinist",
"Maintenance man",
"Picking packing,Warehouse operative","Cleaner, Packer, Warehouse"
,Care
"Van driver,Van driver,Van driver,Night hygiene staff",Waiter
"Lunchtime Supervisor,Shop Assistant",
"Agent administration",
"Support Worker",
"Shuttering Self employed",
,"Drama teacher, Police"
Labourer,Retail
"Trade plate driver,Morrisons PLC freezer,Van driver","Warehouse, Driving"
"Hygiene operator","Morrison hygiene operator"
"sandwich artist","lunchtime supervisor, cleaning, takeaway"
Labourer,"Construction, Warehouse operative, Landscaping"
Retail,"Creative Making & Design, Cleaning People's Homes, Party Planning (Multiple Occassions: aka: Birthdays, Weddings, Christmas, etc)"
"category manager,assistant business manager,sales manager,outbound sales manager,proactive account manager,customer service advisor,telephone account manager,customer service advisor","account manager, customer service/sales manager, procurement/category manager"
,Landscaping
"Scaffolding,Brick Laying,B&A Machinery / fork lift driver","B&A Machinery / fork lift driver, Brick Laying, Scaffolding"
"pensioneer,administrator,accountant","retail associate, service associate, office temp"
"Warehouse Operative","Warehouse, Cleaner, Health care assistant"
,"Railway engineer, Painting, Gardening"
"Concrete operative,Bench joiner,Driving,Waste removal,Vulcanizer","Pat tester, Warehouse Operative, Waste Disposal"
"Labourer,Construction and Building Industry","Construction Industry, Labourer"
Fitter,"Building, Landscaping, Roofing"
Cleaner,"Cleaner, Care Worker (Non driving)"
"stock replenishment,delivery driver","IT service analyst, Warehouse"
,"photographer assistant"
,"Painting and decorating, Nursery assistant, Bakery or other food setting"
"Office Clerk",
"Arbitration Manager - Ukraine,Economic Legal Court Legal Assistant -Ukraine,Economic Legal Court Specialist - Litigation and Analytical Work-Ukraine,Legal Consultant","Solicitors and barristers, Solicitors and barristers, Court"
"Food Production,Warehouse","Security, Warehouse"
"Carer,Support worker,Cleaning manager","Support worker, Carer, Cleaner"
"Fitting Gollies and unblocking",
"self employed joiner",
,"Warehouse, Labour, Drivers mate"
"Online Shopper,Bar Supervisor,Warehouse Operative",
"Quality assessment",
"Care Assistant",
"Warehouse operative","van driver, delivery driver, car delivery driver"
,"Vehicle Technician, Mobile Engineer"
"Site Supervisor,Order Picking","Site Manager"
,"Mechanic, Welding, Bricklaying"
,"technology jobs, gardening jobs"
"Floor staff/cashier,Cashier at men kind",
"Crew Team Member,Digital marketing assistant","Waitress, Administrator, Warehouse Worker, Bartender, Crew team member, Receptionist, Office assistant, Data analysis, Retail assistant, Teaching assistant, Care worker"
"BNM,Savers",Retail
"Warehouse Operative,Fork Lift driver",
"CLEANER,CLEANER",
"Bar Tending,Bar Tending,Prescription Pricer","Caring, Kitchen Work"
"Creative Design Manager,Senior Creative Designer,Creative Designer,Graphic Designer / Creative Designer","Head of Creative, Creative Design Manager, Senior Creative Designer"
,"Customer service, Cleaning, Shop"
"Chef,Sales operative,Logistics manager","Hospitality, Renewable energy, Creative"
"cleaner/porter,Cleaner",
"Construction,Labourer,Roofer",Roofer
"Retail assistant",
"Warehouse Operative","Accounting, Warehouse Operative"
"front of house","Hospitality, Customer service"
"Post selecter,machine operator,flt driver,handyman","Postman, Warehause, Mashine operation"
"Work at market,Cleaning,Barber",
Warehouse,
"Sales advisor",
"Warehouse Operative,Warehouse Operative,Supplier Compliance Coordinator,Supplier Compliance,Coordinator,Administrator","Warehouse Operative, Sales Assistant"
"Bricklayer apprenticeship,Warehouse operative","Railway, Apprenticeship, Construction"
"CSSD Coordinator,Cashier,Dental Nurse,Receptionist","Teaching Assistant, School Admin, Receptionist"
Warehouse,
"Cafe Bar Assistant,Sales Assistant,Sales Assistant,Kitchen assistant,Processing Clerk,Telephone Clerk",
"Bar Manager,Playwrite,Cocktail Bar Supervisor / Pizza Chef,Photographer","Actor, Photographer, Tattoo Artist, Job related to Mixology / Whisky (not bartender), Helping the Elderly, Animal Care"
"Sales Assistant,Sales Assistant","Sales Assitant"
Butcher,"Factory Butchery, temp warehouse, Army"
"labourer,order picker,warehouse","warehouse, order picker"
"Retail checkout assistant,Customer services",
"Never worked","Retail, Warehouse"
Barber,Barber
"Teaching Assistant,Teaching Assistant,Beauty Therapist","Teaching assistant"
"Civil engineer",
"House keeper",
"Dispensing assistant",
"Takeaway,Warehouse","Warehouse, Forklift driver"
"Personal Trainer","Security Guard, Personal Trainer, Driving Jobs"
"Warehouse operative","van driver, delivery driver, car delivery driver"
"Glass collector,Warehouse work",
"Lunchtime Supervisor",
"General Labourer,Roofer Domestic","Dumper Truck Operator"
,"Cleaning, Interpreter"
"Mobile Cleaner,Labourer construction,Cleaner","Botanist, Environmental Conservation"
"self employed removal man",
"Sewing machinist,Volunteer,Sewing machinist,Volunteer at ST.Vincent Charity Wakefield,Sewing machinist","Sewing machinist"
"warehouse worker,Warehouse Worker",
,"Hairdressing, Carer, Cleaner, Social worker, Childminder, Painter"
"Self employed construction","Reach truck driver, Construction"
"van delivery driver,Warehouse",
,"Joiner, Kitchen fitter, Bathroom"
,"Care, Nursing, Porter"
Carer,Carer
"Cleaning,Traine labourer,Semi skilled fettler,Bath attendant industrial cleaning","Cleaning, Fettler, Van drivers mate"
Dispenser,
"Care Assistant","Care Assistant"
"Barber,Window cleaner,Gardening/landscaping,Warehouse manager,Marquee erecting/event organizer",
Volunteer,"Retail assistant"
carer,
"Line packer",Cleaner
"Picker next,Labourer",
,"Working in a restaurant, Working in a takeaway, Making pizzas"
"Warehouse operative",
"Carer,Asda,Carer,McDonald worker,Waitress","Care, Bartender, Customer service"
,"Any, Driving, Care"
"Warehouse operative","Animal technician, Retail assistant, Store assistant"
"Social Media Coordinator","Media, Admin, Graphic design"
"Support worker,Kitchen porter,Guest host,Till operator,Edmunson elec","Support worker, Admin, Customer services"
,"Retail, Warehouse, Cleaning"
"Refunds Administrator,Retail Assistant,Fashion merchant - Self employed,Quality Control","Refunds Administrator, Quality Control, Customer Service Representative, Office Administrator"
"Counter Clerk,Care Assistant","Counter  Clerk, Delivery Driver"
"Delivery Driver,credit control manager",
,"Welding, Sales"
,Paramedic
"Warehouse work","Cleaner, Warehouse Operative"
"Warehouse operative,Machine operating,Order packing","Warehouse picking, Warehouse packing"
"General Operative",
Administrator,"Administration, Care, Customer service"
,"Administration, Teaching Assistant, Charity Organisations"
"ESL Teacher",
"Food Assistant,Nursery Assistant",Retail
"Warehouse Operative",
"Primary school teacher",
"Chaiiwala express retail assistant - Euro Garages","Makeup Artist"
,"administration, council work"
Hairdresser,"Hairdresser, Retail, Cleaning"
,"Teaching assistant"
"Warehouse Operative","Picker/packer, Warehouse Operative, Supermarket shelf stacker"
"Dental nurse / decon technician","Dental nurse, Decontamination technician, Care work"
"Team member","Retail, Call centre"
"Delivery Driver","Warehouse Operative, Delivery Driver"
Warehouse,
"Team Leader","Warehouse work"
,"Graphic designer, Computing engineer, Customer service"
"First Response Admin,HMPO Agent,English Teacher","Business Development Manager, CRM Specialist / Manager, Account Manager"
"Construction,Warehouse/picker packer","warehouse, construction"
scaffolder,scaffolder
"Warehouse Operative,Warehouse Operative,Supplier Compliance Coordinator,Supplier Compliance,Coordinator,Administrator","Warehouse Operative, Sales Assistant"
,"Retail Assistant, Office Admin, Customer Service/Call Centre"
Administrator,
,"Painting, Warehouse, Tiling"
"Admin,Showrooms Customer Advisor,Phone Shop Advisor,Kitchen Assistant/Waitress,Warehouse Operative",
"Assistant in a shop","Admin, Customer Services, Receptionist"
,"Cleaning assistant, Kitchen assistant"
,"Door Supervisor."
"Trading assistant,Customer care","Retail, Customer service"
,"Barber, Drivers mate"
"farm hand,Warehouse operative",
"Molehill Primary Academy,Provide Education",
"Shop assistant,Warehouse operative,Farmer",
,"Wearhouse, Retail, Cares"
"Cleaner,Cleaning",
"Kitchen Staff",
"Hotel manager,Bar Manager","Bar management, Hotel Management, Customer service / Admin"
"Bar Staff,Driver's mate","Gardener, Musician, Bar Staff"
"Catering Assistant,Catering Assistant",
"Machine Cutter","Machine Cutting"
"Sales Assistant,Retail Assistant,Farmer","Customer Services Assistant, Sales Assistant, Production Operative"
"Warehouse operative","Warehouse op, Warehouse operative, Warehouse operative, Warehouse operative"
"Breakfast club supervisor,Lunchtime supervisor",
"Private Hire Driver,Private hire driver,Teaching assistant,Project worker / sports coach,Baker,Shop associate","Driving jobs school runs, Sports coach"
Cleaner,Cleaner
"Production,Warehouse","Warehouse, Cleaning"
"Passenger Assistant",
Cleaner,Cleaning
"shop assistant","packing, caring, teacher assistant"
"Pupil Escort,pupil escort",
"Safe Ways coach cleaner.,Restaraunt/cafe Asian,Captain Thornton apprenticship fryer","Cook/ hospitality, Bar work, Retail"
"Eden Place residential care home volunteer,British Heart Foundation volunteer","Receptionist, Retail, Admin"
"Building,Factory,Barrier installation,Line Supervisor","Labouring, FLT, Warehouse"
"Office Clerk",
"stock replenishment,delivery driver","IT service analyst, Warehouse"
"clearning,bartender","retail, cleaning, bartending"
"Senior Specialist negotiator",
"Factory work,Labourer,Driving","Driving, Labouring, Factory work"
"Supervising,Ducting,Pipework,Paving,Groundworker (7 years experience)","Grounds worker, Driver, Ground work supervisor"
"Warehouse Operative","Video Editing, Computer Related ( Not Coding ), Gaming Industry ( Social Media Manager or anything that could be available )"
"Cleaner,Cleaner,Cleaner",Cleaner
